Question,Question Type,Sub Category,Category
What's the most money you have spent on something to eat?,NON_TECHNICAL,SHOPPING,HOBBY
What's the most money you have spent on something to wear?,NON_TECHNICAL,SHOPPING,HOBBY
When you buy something what is most important to you: price quality fashion trend status/image?,NON_TECHNICAL,SHOPPING,HOBBY
If you had to save money what can you do without?,NON_TECHNICAL,SHOPPING,HOBBY
If you needed to earn some extra money how would you do that?,NON_TECHNICAL,SHOPPING,HOBBY
If you had a large amount of money what would you do with it?,NON_TECHNICAL,SHOPPING,HOBBY
Have you or your family ever won any money in a lottery?,NON_TECHNICAL,SHOPPING,HOBBY
How much money would you have to win to be happy?,NON_TECHNICAL,SHOPPING,HOBBY
Why do people often want more money no matter how much they have got?,NON_TECHNICAL,SHOPPING,HOBBY
Why are poor people in many cases more generous than rich people?,NON_TECHNICAL,SHOPPING,HOBBY
Do you consider companies like Microsoft and people like Bill Gates smart and shrewd?,NON_TECHNICAL,SHOPPING,HOBBY
What are some of the different kinds of taxes your country has?,NON_TECHNICAL,SHOPPING,HOBBY
If you were the ruler of your country what would you do to change the taxation system?,NON_TECHNICAL,SHOPPING,HOBBY
What is the funniest tax you can think of to introduce?,NON_TECHNICAL,SHOPPING,HOBBY
What do you like spending money on? What don't you like spending on?,NON_TECHNICAL,SHOPPING,HOBBY
What would you love to buy but you can't afford?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever lent money to someone? Who? What did he/she need the money for?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever borrowed money from someone? Who? What did you need the money for?,NON_TECHNICAL,SHOPPING,HOBBY
Do you play the lottery?,NON_TECHNICAL,SHOPPING,HOBBY
How much money do you need for happiness?,NON_TECHNICAL,SHOPPING,HOBBY
How often do you go shopping? Are you a price-conscious shopper? Do you "shop around" and go to many stores to compare prices?,NON_TECHNICAL,SHOPPING,HOBBY
Do you ever buy second-hand things ("used things")?,NON_TECHNICAL,SHOPPING,HOBBY
When you buy something what things are most important to you? Price? Quality? Fashion trends? status? or image?,NON_TECHNICAL,SHOPPING,HOBBY
Do you sometimes buy things that you don't need?,NON_TECHNICAL,SHOPPING,HOBBY
Are you saving money to buy something? If so what are you planning to buy? How much will it cost? How much longer will you need to save before buying it?,NON_TECHNICAL,SHOPPING,HOBBY
Did your parents give you an allowance (pocket money) when you were a child? What did you use it for?,NON_TECHNICAL,SHOPPING,HOBBY
Should children get an allowance from their parents?,NON_TECHNICAL,SHOPPING,HOBBY
Do you ever gamble? Did you win anything?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever found any money on the street? If so what did you do with it?,NON_TECHNICAL,SHOPPING,HOBBY
Do you ever give money to charity? How much do you give?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever given money to a beggar or homeless person?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever had any money stolen from you? What happened?,NON_TECHNICAL,SHOPPING,HOBBY
What would you love to buy but that you can't afford?,NON_TECHNICAL,SHOPPING,HOBBY
What would you do if you won a large sum of money? What is the first thing you would buy with it? Would you invest it?,NON_TECHNICAL,SHOPPING,HOBBY
Would you give some money to charity?,NON_TECHNICAL,SHOPPING,HOBBY
Would you help your family/friends?,NON_TECHNICAL,SHOPPING,HOBBY
How long would it take you to spend 1 million dollars?,NON_TECHNICAL,SHOPPING,HOBBY
Can a person be rich without having a lot of money or possessions? How?,NON_TECHNICAL,SHOPPING,HOBBY
How important is money to you? If you had little money could you be happy?,NON_TECHNICAL,SHOPPING,HOBBY
How much do you spend each month on food? Where do you usually buy food?,NON_TECHNICAL,SHOPPING,HOBBY
What do you spend most of your money on each month?,NON_TECHNICAL,SHOPPING,HOBBY
Which costs more a hamburger here or a hamburger in your country?,NON_TECHNICAL,SHOPPING,HOBBY
If someone gave you a million dollars what would you do with it?,NON_TECHNICAL,SHOPPING,HOBBY
Some people say that "money makes the world go round." Do you agree?,NON_TECHNICAL,SHOPPING,HOBBY
What is something that you bought recently?,NON_TECHNICAL,SHOPPING,HOBBY
What is something that you want to buy but think you never will?,NON_TECHNICAL,SHOPPING,HOBBY
When did you open your first bank account?,NON_TECHNICAL,SHOPPING,HOBBY
How old were you when you earned your first salary? What did you spend it on?,NON_TECHNICAL,SHOPPING,HOBBY
Do you think that it is right for someone to beg for money?,NON_TECHNICAL,SHOPPING,HOBBY
Would you give money to a beggar? Why?,NON_TECHNICAL,SHOPPING,HOBBY
When you buy something what things are most important to you: price quality fashion trends status or image?,NON_TECHNICAL,SHOPPING,HOBBY
Do you have more than one bank account? Are you good at saving money?,NON_TECHNICAL,SHOPPING,HOBBY
If you had to save money what could you do without? "I would stop spending money on ___".,NON_TECHNICAL,SHOPPING,HOBBY
Why are poorer people in many cases more generous than rich people?,NON_TECHNICAL,SHOPPING,HOBBY
If you don't want help when the store clerk asks if you need help what should you say to them? (Hint: You can say "Thanks I'm just looking."),NON_TECHNICAL,SHOPPING,HOBBY
Do you think taxes in your country are too high/low? What are some of the different kinds of taxes your country has?,NON_TECHNICAL,SHOPPING,HOBBY
If you were the leader of your country what would you do to change the taxation system? What would you do to help your country's economy?,NON_TECHNICAL,SHOPPING,HOBBY
Which shopping centers and stores do you like best and which do you like least?,NON_TECHNICAL,SHOPPING,HOBBY
What was the last thing you bought for someone else? Why did you buy it?,NON_TECHNICAL,SHOPPING,HOBBY
Who takes care of the money in your family's home?,NON_TECHNICAL,SHOPPING,HOBBY
What qualities must a person have to make "big money"?,NON_TECHNICAL,SHOPPING,HOBBY
Do you often buy products that advertised on TV newspapers or magazines? If so what was the last item that you bought?,NON_TECHNICAL,SHOPPING,HOBBY
Do you consider consumerism good or bad?,NON_TECHNICAL,SHOPPING,HOBBY
What differences can you notice between commercials from 10 or 15 years ago and commercials today?,NON_TECHNICAL,SHOPPING,HOBBY
Why do you like painting/drawing/sketching?,NON_TECHNICAL,PAINTING,HOBBY
What are some famous paintings that you like? ,NON_TECHNICAL,PAINTING,HOBBY
What are some famous paintings that you like? You don't like?,NON_TECHNICAL,PAINTING,HOBBY
What type of painting/sketching/drawing do you do? ,NON_TECHNICAL,PAINTING,HOBBY
Have you ever sold one of your paintings or sketch?,NON_TECHNICAL,PAINTING,HOBBY
Are you impressed with people who know how to paint or sketch?,NON_TECHNICAL,PAINTING,HOBBY
Do you have a painting or sketch of yourself?,NON_TECHNICAL,PAINTING,HOBBY
What's the most expensive and most beautiful painting you have ever seen?,NON_TECHNICAL,PAINTING,HOBBY
How much are you willing to pay for a beautiful painting?,NON_TECHNICAL,PAINTING,HOBBY
Do you know Leonardo da Vinci and his paintings? Can you name some of his paintings?,NON_TECHNICAL,PAINTING,HOBBY
Do have paintings at home for decoration?,NON_TECHNICAL,PAINTING,HOBBY
If you could be given the chance to paint what would you paint? ,NON_TECHNICAL,PAINTING,HOBBY
 Would you sell your paintings or sketch?,NON_TECHNICAL,PAINTING,HOBBY
Does the painting make you feel happy or sad?,NON_TECHNICAL,PAINTING,HOBBY
What is your all-time favorite movie?,NON_TECHNICAL,MOVIES,HOBBY
Are there any kinds of movies you dislike?,NON_TECHNICAL,MOVIES,HOBBY
Do you like to watch horror movies?,NON_TECHNICAL,MOVIES,HOBBY
Do you prefer fiction or nonfiction books? How about movies?,NON_TECHNICAL,MOVIES,HOBBY
Do you usually watch movies at home or at a movie theater?,NON_TECHNICAL,MOVIES,HOBBY
Have you ever seen the same movie more than once?,NON_TECHNICAL,MOVIES,HOBBY
Have you ever seen Marvel movies? (Insert the name of a movie.),NON_TECHNICAL,MOVIES,HOBBY
How often do you go to movies?,NON_TECHNICAL,MOVIES,HOBBY
If a book has been made into a movie which do you prefer to do first see the movie or read the book? Why?,NON_TECHNICAL,MOVIES,HOBBY
What do you think of people who talk during movies at a movie theater?,NON_TECHNICAL,MOVIES,HOBBY
What is the best movie you have ever seen?,NON_TECHNICAL,MOVIES,HOBBY
What is the scariest movies you have ever seen?,NON_TECHNICAL,MOVIES,HOBBY
What's the funniest movies you have ever seen?,NON_TECHNICAL,MOVIES,HOBBY
What's the most romantic movies you have ever seen?,NON_TECHNICAL,MOVIES,HOBBY
What is the worst movie you've ever seen?,NON_TECHNICAL,MOVIES,HOBBY
What was the last movie you saw?,NON_TECHNICAL,MOVIES,HOBBY
Which do you like better action movies or comedy movies?,NON_TECHNICAL,MOVIES,HOBBY
What movie star would you most like to meet?,NON_TECHNICAL,MOVIES,HOBBY
Who is your favorite actor or actress?,NON_TECHNICAL,MOVIES,HOBBY
What do you think of reality shows?,NON_TECHNICAL,MOVIES,HOBBY
Do you think that films can be educational?,NON_TECHNICAL,MOVIES,HOBBY
Is there a movie you could watch over and over again?,NON_TECHNICAL,MOVIES,HOBBY
Who's your favorite director?,NON_TECHNICAL,MOVIES,HOBBY
Seen any good movies lately?,NON_TECHNICAL,MOVIES,HOBBY
Do you think movies have been developing technology or technology has been developing movies?,NON_TECHNICAL,MOVIES,HOBBY
What is the most horrible movie you have ever seen?,NON_TECHNICAL,MOVIES,HOBBY
Are addicted to watching movies?,NON_TECHNICAL,MOVIES,HOBBY
Do you like to see a movie many times?,NON_TECHNICAL,MOVIES,HOBBY
Would you like to be an actor/actress? Why or why not?,NON_TECHNICAL,MOVIES,HOBBY
Do you think action movies are bad for children?,NON_TECHNICAL,MOVIES,HOBBY
Which do you prefer to watch movies or to read books?,NON_TECHNICAL,MOVIES,HOBBY
How much money do you spend when you go to movies?,NON_TECHNICAL,MOVIES,HOBBY
What do you prefer animated movies or real movies?,NON_TECHNICAL,MOVIES,HOBBY
What is your favorite movie soundtrack?,NON_TECHNICAL,MOVIES,HOBBY
Do you think historical movies are educational?,NON_TECHNICAL,MOVIES,HOBBY
Do you like documentaries?,NON_TECHNICAL,MOVIES,HOBBY
Who is your favorite movie hero?,NON_TECHNICAL,MOVIES,HOBBY
What do you think about comic books movies?,NON_TECHNICAL,MOVIES,HOBBY
Can you remember the name of the first movie you saw that made you cry?,NON_TECHNICAL,MOVIES,HOBBY
What is your favorite classical movie?,NON_TECHNICAL,MOVIES,HOBBY
Which do you prefer comedy movies or horror movies?,NON_TECHNICAL,MOVIES,HOBBY
Have you ever watched a movie twice that you disliked?,NON_TECHNICAL,MOVIES,HOBBY
Do you ever download movies torrent?,NON_TECHNICAL,MOVIES,HOBBY
Do you like foreign films that are dubbed in your mother tongue or do you like watching the film in its original form?,NON_TECHNICAL,MOVIES,HOBBY
What kind of movie would you like to star in? Why?,NON_TECHNICAL,MOVIES,HOBBY
What is something that you have never seen happen in a movie?,NON_TECHNICAL,MOVIES,HOBBY
What things happen too often in movies?,NON_TECHNICAL,MOVIES,HOBBY
What is the name of a boring movie you have seen. Is there a way to make it better?,NON_TECHNICAL,MOVIES,HOBBY
How would you make a really bad movie?,NON_TECHNICAL,MOVIES,HOBBY
Which movie star do you think should die today?,NON_TECHNICAL,MOVIES,HOBBY
Which movie star should live forever?,NON_TECHNICAL,MOVIES,HOBBY
Which two movie stars would you like to have for your parents?,NON_TECHNICAL,MOVIES,HOBBY
If a movie star wanted to marry you would you divorce your spouse?,NON_TECHNICAL,MOVIES,HOBBY
If you could be a movie bad guy which one would you be?,NON_TECHNICAL,MOVIES,HOBBY
Have you ever thought about what super powers you would like to have?,NON_TECHNICAL,MOVIES,HOBBY
Which famous person would you like to have for a best friend?,NON_TECHNICAL,MOVIES,HOBBY
How often would you go to the movie theater if you always had free tickets?,NON_TECHNICAL,MOVIES,HOBBY
Which movie has the best story ? Tell me about it.,NON_TECHNICAL,MOVIES,HOBBY
Which horror movie is the scariest? Why?,NON_TECHNICAL,MOVIES,HOBBY
If they made a movie about your life what kind of movie would it be?,NON_TECHNICAL,MOVIES,HOBBY
Which actor or actress would be you in a movie about your life?,NON_TECHNICAL,MOVIES,HOBBY
Do you want your children to be actors or actresses?,NON_TECHNICAL,MOVIES,HOBBY
How would your life change if you could do TV commercials?,NON_TECHNICAL,MOVIES,HOBBY
How would you like to clean house for a celebrity?,NON_TECHNICAL,MOVIES,HOBBY
Would you let a movie crew film in your house?,NON_TECHNICAL,MOVIES,HOBBY
Would you like to be a movie extra?,NON_TECHNICAL,MOVIES,HOBBY
Do you think there is too much nudity in movies or not enough?,NON_TECHNICAL,MOVIES,HOBBY
Do you think there is too much violence in movies? Does it affect children?,NON_TECHNICAL,MOVIES,HOBBY
Do you think a movie has to be expensive to make to become a blockbuster? Why?,NON_TECHNICAL,MOVIES,HOBBY
Why do some people become famous and others don't?,NON_TECHNICAL,MOVIES,HOBBY
What kind of character would you like to play in a television drama?,NON_TECHNICAL,MOVIES,HOBBY
If someone were to make a movie about your life what would you want included? ,NON_TECHNICAL,MOVIES,HOBBY
What do you think about eating during movies at a movie theater?,NON_TECHNICAL,MOVIES,HOBBY
What are the different types/genres of films you can watch?,NON_TECHNICAL,MOVIES,HOBBY
Do you think that films should be more educational?,NON_TECHNICAL,MOVIES,HOBBY
Do you choose a film for the plot/story or the actors?,NON_TECHNICAL,MOVIES,HOBBY
What is the longest film you've ever seen? How many hours was it?,NON_TECHNICAL,MOVIES,HOBBY
Do you like animated films?,NON_TECHNICAL,MOVIES,HOBBY
Have you seen any of the "Lord of the Rings" or "Harry Potter" films? Did you enjoy them?,NON_TECHNICAL,MOVIES,HOBBY
Do you prefer watching films in their original version or in your mother language?,NON_TECHNICAL,MOVIES,HOBBY
Who chooses the programs the family watches together?,NON_TECHNICAL,MOVIES,HOBBY
If two people want to watch different programs at the same time how do you settle the problem?,NON_TECHNICAL,MOVIES,HOBBY
Should some kinds of movies not be made?,NON_TECHNICAL,MOVIES,HOBBY
 Do you think there should be more movies made in your country?,NON_TECHNICAL,MOVIES,HOBBY
 What is something that you have never seen happen in a movie?,NON_TECHNICAL,MOVIES,HOBBY
 What things happen too often in movies?,NON_TECHNICAL,MOVIES,HOBBY
 Which movie star should live forever?,NON_TECHNICAL,MOVIES,HOBBY
 Which two movie stars would you like to have for parents?,NON_TECHNICAL,MOVIES,HOBBY
 If you could be a movie bad guy which one would you be?,NON_TECHNICAL,MOVIES,HOBBY
 Have you ever thought about what super powers you'd like to have?,NON_TECHNICAL,MOVIES,HOBBY
 Which famous person would you like to have for a best friend?,NON_TECHNICAL,MOVIES,HOBBY
 How often would you go to the movie theater if you always had free tickets?,NON_TECHNICAL,MOVIES,HOBBY
 Which movie has the best story? Tell me about it.,NON_TECHNICAL,MOVIES,HOBBY
 Which horror movie is the scariest? Why?,NON_TECHNICAL,MOVIES,HOBBY
 Would you be willing to leave your country forever if you could be famous?,NON_TECHNICAL,MOVIES,HOBBY
 What are some problems that famous people have?,NON_TECHNICAL,MOVIES,HOBBY
 Would it be a problem if your sweetheart became famous but you didn't?,NON_TECHNICAL,MOVIES,HOBBY
 If they made a movie about your life what kind of movie would it be?,NON_TECHNICAL,MOVIES,HOBBY
 Which actor or actress would be you in a movie about your life?,NON_TECHNICAL,MOVIES,HOBBY
 Do you want your children to be actors or actresses?,NON_TECHNICAL,MOVIES,HOBBY
 How would your life change if you could do TV commercials?,NON_TECHNICAL,MOVIES,HOBBY
Would you like to clean house for a celebrity?,NON_TECHNICAL,MOVIES,HOBBY
What is your weakness?,NON_TECHNICAL,RQUESTION,General
What is your strength?,NON_TECHNICAL,RQUESTION,General
Tell me something which is not on your resume?,NON_TECHNICAL,RQUESTION,General
What if we hire you for development and ask you to do testing or support work?,NON_TECHNICAL,RQUESTION,General
What do know about our company?,NON_TECHNICAL,RQUESTION,General
Why should we hire you?,NON_TECHNICAL,RQUESTION,General
Why aren't you opting for hire studies?,NON_TECHNICAL,RQUESTION,General
tell me something about your family?,NON_TECHNICAL,RQUESTION,General
How you feel about working late or during the weekends?,NON_TECHNICAL,RQUESTION,General
Have you faced any challenging situation? How did you handle it?,NON_TECHNICAL,RQUESTION,General
Where do you see yourself in the next five years?,NON_TECHNICAL,RQUESTION,General
What are your hobbies and interests?,NON_TECHNICAL,RQUESTION,General
Do you lie?,NON_TECHNICAL,RQUESTION,General
How much salary are you expecting?,NON_TECHNICAL,RQUESTION,General
Do you have any questions for me?,NON_TECHNICAL,RQUESTION,General
You have not done your PG yet. This is not a drawback but don’t you think you should get a PG degree asap?,NON_TECHNICAL,RQUESTION,General
What are your strong points? or What are your strengths?,NON_TECHNICAL,RQUESTION,General
What is your greatest fear?,NON_TECHNICAL,RQUESTION,General
If I call up your current or previous reporting manager now what will be their opinion about you? What will they say that you need to work on?,NON_TECHNICAL,RQUESTION,General
Do you have any serious medical issues?,NON_TECHNICAL,RQUESTION,General
Did you ever have a conflict with your current/previous boss or professor?,NON_TECHNICAL,RQUESTION,General
What do your friends/co-workers say about you?,NON_TECHNICAL,RQUESTION,General
What did you do in the last year to improve your knowledge?,NON_TECHNICAL,RQUESTION,General
Explain the difference between group and team. Are you a team player?,NON_TECHNICAL,RQUESTION,General
What is your ideal company or workplace?,NON_TECHNICAL,RQUESTION,General
Have you ever had to fire anyone? How did you feel about that?,NON_TECHNICAL,RQUESTION,General
What is the most difficult thing that you’ve ever accomplished? or What is the most difficult thing you have ever done?,NON_TECHNICAL,RQUESTION,General
What is the difference between hard work and smart work?,NON_TECHNICAL,RQUESTION,General
How do you feel about working weekends and night shifts?,NON_TECHNICAL,RQUESTION,General
Where do you see yourself 3 years from now? or Where do you see yourself in 5 years?,NON_TECHNICAL,RQUESTION,General
Give an example of a time you had to respond to an unhappy manager/ customer/ colleague/ professor/ friend.,NON_TECHNICAL,RQUESTION,General
How quickly do you adapt to new technology?,NON_TECHNICAL,RQUESTION,General
What software packages are you familiar with?,NON_TECHNICAL,RQUESTION,General
On a scale of 1 to 10 how would you rate yourself as a leader?,NON_TECHNICAL,RQUESTION,General
What makes you angry?,NON_TECHNICAL,RQUESTION,General
Are you open to take risks? or Do you like experimenting?,NON_TECHNICAL,RQUESTION,General
What are your future goals? Tell me about your short term and long-term goals.,NON_TECHNICAL,RQUESTION,General
What motivates you?,NON_TECHNICAL,RQUESTION,General
What are your hobbies? or What are you passionate about?,NON_TECHNICAL,RQUESTION,General
What are your biggest achievements till date?,NON_TECHNICAL,RQUESTION,General
What are you most proud of?,NON_TECHNICAL,RQUESTION,General
What has been your greatest failure?,NON_TECHNICAL,RQUESTION,General
What do you always regret? or Do you have any regrets?,NON_TECHNICAL,RQUESTION,General
How do you respond to change?,NON_TECHNICAL,RQUESTION,General
Are you demanding as a boss?,NON_TECHNICAL,RQUESTION,General
Are you an organized person?,NON_TECHNICAL,RQUESTION,General
Can you describe your time management skills?,NON_TECHNICAL,RQUESTION,General
Are you reliable? or Can I trust you with responsibilities?,NON_TECHNICAL,RQUESTION,General
What are the three things that are most important for you in a job?,NON_TECHNICAL,RQUESTION,General
What was the toughest decision you ever had to make?,NON_TECHNICAL,RQUESTION,General
If you won a Rs.10-crore lottery would you still work?,NON_TECHNICAL,RQUESTION,General
Give me an example of your creativity.,NON_TECHNICAL,RQUESTION,General
What makes you happy?,NON_TECHNICAL,RQUESTION,General
How do you work under pressure? Can you handle the pressure?,NON_TECHNICAL,RQUESTION,General
Are you willing to relocate or travel?,NON_TECHNICAL,RQUESTION,General
What do you know about us or our company?,NON_TECHNICAL,RQUESTION,General
How long do you think you will work for us after we hire you?,NON_TECHNICAL,RQUESTION,General
Are you applying for other jobs? Do you have any other offer in hand?,NON_TECHNICAL,RQUESTION,General
Why do you want to work for us or our company? or Why do you want this job?,NON_TECHNICAL,RQUESTION,General
Do you know anyone who works for us?,NON_TECHNICAL,RQUESTION,General
Why should we hire you? or Why should I hire you?,NON_TECHNICAL,RQUESTION,General
What are your salary expectations?,NON_TECHNICAL,RQUESTION,General
Share an experience you had in dealing with a difficult person and how you handled the situation.,NON_TECHNICAL,RQUESTION,General
Share an effective method you have used to enforce rules and regulations.,NON_TECHNICAL,RQUESTION,General
Name a time when your advice to management led to an improvement in your company or otherwise helped your employer.,NON_TECHNICAL,RQUESTION,General
Please share with me an example of how you helped coach or mentor someone. What improvements did you see in the person's knowledge or skills?,NON_TECHNICAL,RQUESTION,General
Provide an example of a time when you successfully organized a diverse group of people to accomplish a task.,NON_TECHNICAL,RQUESTION,General
Tell me how you organize plan and prioritize your work.,NON_TECHNICAL,RQUESTION,General
Share an experience when you applied new technology or information in your job. How did it help your company or project?,NON_TECHNICAL,RQUESTION,General
Tell me about an experience in which you analyzed information and evaluated results to choose the best solution to a problem.,NON_TECHNICAL,RQUESTION,General
Name a time when you identified strengths and weaknesses of alternative solutions to problems. What was the impact?,NON_TECHNICAL,RQUESTION,General
Provide an example of a time when you were able to demonstrate excellent listening skills. What was the situation and outcome?,NON_TECHNICAL,RQUESTION,General
Please share an experience in which you presented to a group. What was the situation and how did it go?,NON_TECHNICAL,RQUESTION,General
Share an example of when you went above and beyond the "call of duty".,NON_TECHNICAL,RQUESTION,General
In your experience what is the key to developing a good team?,NON_TECHNICAL,RQUESTION,General
Provide a time when you dealt calmly and effectively with a high-stress situation.,NON_TECHNICAL,RQUESTION,General
What have you found to be the best way to monitor the performance of your work and/or the work of others? Share a time when you had to take correctiv,NON_TECHNICAL,RQUESTION,General
Provide a time when you worked in a rapidly evolving workplace. How did you deal with the change?,NON_TECHNICAL,RQUESTION,General
Name a time when your patience was tested. How did you keep your emotions in check?,NON_TECHNICAL,RQUESTION,General
Provide an example when your ethics were tested.,NON_TECHNICAL,RQUESTION,General
Provide an experience in which you were sensitive to somone's needs or feelings. How did your helpfulness affect your work environment?,NON_TECHNICAL,RQUESTION,General
Provide an example when you were able to prevent a problem because you foresaw the reaction of another person.,NON_TECHNICAL,RQUESTION,General
Share an experience in which you successfully coordinated with others. How about a coordination effort that was not as successful?,NON_TECHNICAL,RQUESTION,General
Tell me about a time when you developed your own way of doing things or were self-motivated to finish an important task.,NON_TECHNICAL,RQUESTION,General
How do you balance cooperation with others and independent thinking? Share an example. ,NON_TECHNICAL,RQUESTION,General
Provide an example of when you were persistent in the face of obstacles,NON_TECHNICAL,RQUESTION,General
Describe your ability to deal with conflict. ,NON_TECHNICAL,RQUESTION,General
Tell me your three weaknesses. ,NON_TECHNICAL,RQUESTION,General
What are your three greatest strengths? ,NON_TECHNICAL,RQUESTION,General
Where do you see yourself in  years? ,NON_TECHNICAL,RQUESTION,General
Tell me about your ability to work under pressure. ,NON_TECHNICAL,RQUESTION,General
Why do you apply for this position? ,NON_TECHNICAL,RQUESTION,General
What has been your greatest accomplishment? ,NON_TECHNICAL,RQUESTION,General
Why did you leave your previous job? ,NON_TECHNICAL,RQUESTION,General
How would you deal with this kind of situation? ,NON_TECHNICAL,RQUESTION,General
Are you a team player? ,NON_TECHNICAL,RQUESTION,General
How would your friends or coworkers describe you? ,NON_TECHNICAL,RQUESTION,General
What are your salary requirements? ,NON_TECHNICAL,RQUESTION,General
What are your short-term goals? Long-term? ,NON_TECHNICAL,RQUESTION,General
How do you motivate people? ,NON_TECHNICAL,RQUESTION,General
How do you manage multiple tasks/projects? ,NON_TECHNICAL,RQUESTION,General
What is your definition of great customer service? ,NON_TECHNICAL,RQUESTION,General
How do you define success? ,NON_TECHNICAL,RQUESTION,General
Tell me three books you have read recently. ,NON_TECHNICAL,RQUESTION,General
What kind of experience did you gain from your previous job/internship/etc? ,NON_TECHNICAL,RQUESTION,General
May me check your reference? ,NON_TECHNICAL,RQUESTION,General
Do you have an upcoming interview?,NON_TECHNICAL,RQUESTION,General
When can you start to work if hired? ,NON_TECHNICAL,RQUESTION,General
describe a situation you took full responsibility for actions and outcome ,NON_TECHNICAL,RQUESTION,General
How do you think you will compensate for your lack of experience? ,NON_TECHNICAL,RQUESTION,General
Briefly describe the type of career opportunity you are seeking. ,NON_TECHNICAL,RQUESTION,General
In what kind of work environment are you comfortable in? ,NON_TECHNICAL,RQUESTION,General
Tell me about your proudest achievement. ,NON_TECHNICAL,RQUESTION,General
What is your philosophy towards work? ,NON_TECHNICAL,RQUESTION,General
Describe work-related problems and how you solved them. ,NON_TECHNICAL,RQUESTION,General
What are your career goals? ,NON_TECHNICAL,RQUESTION,General
Briefly describe your ideal job? ,NON_TECHNICAL,RQUESTION,General
Describe your work ethic. ,NON_TECHNICAL,RQUESTION,General
how do you plan to achieve these goals? ,NON_TECHNICAL,RQUESTION,General
What kinds of situations put you under stress? How do you handle that stress? ,NON_TECHNICAL,RQUESTION,General
How do you solve problems ,NON_TECHNICAL,RQUESTION,General
If hired how long do you expect to work for us? ,NON_TECHNICAL,RQUESTION,General
Describe yourself mentioning three of your characterristics. ,NON_TECHNICAL,RQUESTION,General
Tell me about your dream job. ,NON_TECHNICAL,RQUESTION,General
Describe a situation where you had an irate customer and how did you handle it ,NON_TECHNICAL,RQUESTION,General
What motivates you to do your best on the job? ,NON_TECHNICAL,RQUESTION,General
If you have a customer in front of you a client on the phone and a boss who wants to see you what do you do? ,NON_TECHNICAL,RQUESTION,General
What do you know about our company? ,NON_TECHNICAL,RQUESTION,General
If you disagree with your supervisor on an important issue of the job what will you do?,NON_TECHNICAL,RQUESTION,General
How do you establish a working relationship with new people? ,NON_TECHNICAL,RQUESTION,General
Tell me about a time where you faced an ethical dilemma. How did you handle it?,NON_TECHNICAL,RQUESTION,General
How would you adapt to a new work environment? ,NON_TECHNICAL,RQUESTION,General
What have you done to improve your skills/knowledge from last year? ,NON_TECHNICAL,RQUESTION,General
Why did you choose your major? ,NON_TECHNICAL,RQUESTION,General
How do you evaluate yourself? ,NON_TECHNICAL,RQUESTION,General
Explain how you would be an asset to this company. ,NON_TECHNICAL,RQUESTION,General
What irritates you about coworkers? ,NON_TECHNICAL,RQUESTION,General
How do you handle an important assignment? ,NON_TECHNICAL,RQUESTION,General
How did you prepare for this interview? ,NON_TECHNICAL,RQUESTION,General
Describe what qualities would you like to see in a supervisor? ,NON_TECHNICAL,RQUESTION,General
Dscribe an experience that you think out of the box. ,NON_TECHNICAL,RQUESTION,General
what do you like most and least about your last or current job ,NON_TECHNICAL,RQUESTION,General
What two or three things are most important to you in your job? ,NON_TECHNICAL,RQUESTION,General
Please describe your experience working with people of different socio-economically and culturally diverse group. ,NON_TECHNICAL,RQUESTION,General
Why did you choose this industry? ,NON_TECHNICAL,RQUESTION,General
What are some of your expectations of your future employer? ,NON_TECHNICAL,RQUESTION,General
Please explain the gap on your resume? ,NON_TECHNICAL,RQUESTION,General
Are you willing to travel (for the job)? ,NON_TECHNICAL,RQUESTION,General
How long would it take for you to make a meaningful contribution to our company? ,NON_TECHNICAL,RQUESTION,General
Can you work well under deadlines or pressure? ,NON_TECHNICAL,RQUESTION,General
What are you expectations regarding promotions and salary increases? ,NON_TECHNICAL,RQUESTION,General
How do you relate to your boss? ,NON_TECHNICAL,RQUESTION,General
Do you consider yourself successful? ,NON_TECHNICAL,RQUESTION,General
Tell me about a project you initiated. ,NON_TECHNICAL,RQUESTION,General
MENTION THE EXPERIENCE YOU HAVE RELATED TO THIS POSITION AND YEARS OF EXPERIENCE? ,NON_TECHNICAL,RQUESTION,General
What do you feel about diversity in the workplace? Do you think it is important? ,NON_TECHNICAL,RQUESTION,General
Where else have you applied? ,NON_TECHNICAL,RQUESTION,General
How would you describe the pace at which you work? ,NON_TECHNICAL,RQUESTION,General
What was the most useful criticism you received? Who was it from? ,NON_TECHNICAL,RQUESTION,General
Will you take a drug/psychological examination as a condition of employment? ,NON_TECHNICAL,RQUESTION,General
How do you handle rejection? ,NON_TECHNICAL,RQUESTION,General
What were your favorite classes or activities during school? ,NON_TECHNICAL,RQUESTION,General
What kind of job are you looking for? ,NON_TECHNICAL,RQUESTION,General
Is there anyone you could not work with? ,NON_TECHNICAL,RQUESTION,General
How do you think your education has prepared you for this type of position? ,NON_TECHNICAL,RQUESTION,General
Do you consider yourself overqualified for this position? ,NON_TECHNICAL,RQUESTION,General
Tell me about a suggestion you have made. ,NON_TECHNICAL,RQUESTION,General
